run,variant,war_loss_threshold,post_years,cut_pct,cut_value,model,n_train,n_test,pos_rate_train,pos_rate_test,n_features_numeric,n_features_categorical,AUC,Accuracy,F1,n_eval,pos_rate_eval
BASELINE_ONLY,TOP5_REMOVED,0.5,1,0.95,22429995.24,RandomForest_v2,298,142,0.5134228187919463,0.5704225352112676,82,1,0.6753693584294678,0.647887323943662,0.6987951807228916,142,0.5704225352112676
BASELINE_ONLY,TOP5_REMOVED,0.5,1,0.95,22429995.24,Logistic_ElasticNet,298,142,0.5134228187919463,0.5704225352112676,82,1,0.6187006678809956,0.5070422535211268,0.39655172413793105,142,0.5704225352112676
BASELINE_ONLY,TOP5_REMOVED,0.5,1,0.95,22429995.24,Logistic_L2,298,142,0.5134228187919463,0.5704225352112676,82,1,0.6138433515482695,0.4859154929577465,0.35398230088495575,142,0.5704225352112676
BASELINE_ONLY,TOP5_REMOVED,0.5,1,0.95,22429995.24,GAM_Splines_Logit,298,142,0.5134228187919463,0.5704225352112676,82,1,0.5998785670916817,0.5422535211267606,0.5323741007194245,142,0.5704225352112676
BASELINE_ONLY,TOP5_REMOVED,0.5,1,0.95,22429995.24,XGB_04_ne1400_lr0.025_md4,298,142,0.5134228187919463,0.5704225352112676,82,1,0.5919854280510018,0.5774647887323944,0.6153846153846154,142,0.5704225352112676
BASELINE_ONLY,TOP5_REMOVED,0.5,1,0.95,22429995.24,XGB_05_ne1600_lr0.02_md5,298,142,0.5134228187919463,0.5704225352112676,82,1,0.588949605343048,0.5915492957746479,0.6282051282051282,142,0.5704225352112676
BASELINE_ONLY,TOP5_REMOVED,0.5,1,0.95,22429995.24,XGB_06_ne2500_lr0.005_md4,298,142,0.5134228187919463,0.5704225352112676,82,1,0.5865209471766849,0.5985915492957746,0.6369426751592356,142,0.5704225352112676
BASELINE_ONLY,TOP5_REMOVED,0.5,1,0.95,22429995.24,XGB_03_ne1200_lr0.03_md4,298,142,0.5134228187919463,0.5704225352112676,82,1,0.5863185589961546,0.5985915492957746,0.632258064516129,142,0.5704225352112676
BASELINE_ONLY,TOP5_REMOVED,0.5,1,0.95,22429995.24,XGB_02_ne900_lr0.04_md3,298,142,0.5134228187919463,0.5704225352112676,82,1,0.5666869054847198,0.5985915492957746,0.6415094339622641,142,0.5704225352112676
BASELINE_ONLY,TOP5_REMOVED,0.5,1,0.95,22429995.24,XGB_01_ne600_lr0.05_md3,298,142,0.5134228187919463,0.5704225352112676,82,1,0.5630439182351751,0.5633802816901409,0.6025641025641025,142,0.5704225352112676
BASELINE_ONLY,TOP5_REMOVED,1.0,1,0.95,22429995.24,RandomForest_v2,298,142,0.3087248322147651,0.33098591549295775,82,1,0.8118701007838746,0.7746478873239436,0.627906976744186,142,0.33098591549295775
BASELINE_ONLY,TOP5_REMOVED,1.0,1,0.95,22429995.24,XGB_06_ne2500_lr0.005_md4,298,142,0.3087248322147651,0.33098591549295775,82,1,0.7923852183650616,0.704225352112676,0.4,142,0.33098591549295775
BASELINE_ONLY,TOP5_REMOVED,1.0,1,0.95,22429995.24,Logistic_ElasticNet,298,142,0.3087248322147651,0.33098591549295775,82,1,0.767973124300112,0.7112676056338029,0.36923076923076925,142,0.33098591549295775
BASELINE_ONLY,TOP5_REMOVED,1.0,1,0.95,22429995.24,XGB_03_ne1200_lr0.03_md4,298,142,0.3087248322147651,0.33098591549295775,82,1,0.7664053751399775,0.7183098591549296,0.42857142857142855,142,0.33098591549295775
BASELINE_ONLY,TOP5_REMOVED,1.0,1,0.95,22429995.24,XGB_01_ne600_lr0.05_md3,298,142,0.3087248322147651,0.33098591549295775,82,1,0.7643896976483762,0.7183098591549296,0.4117647058823529,142,0.33098591549295775
BASELINE_ONLY,TOP5_REMOVED,1.0,1,0.95,22429995.24,Logistic_L2,298,142,0.3087248322147651,0.33098591549295775,82,1,0.7634938409854424,0.7323943661971831,0.42424242424242425,142,0.33098591549295775
BASELINE_ONLY,TOP5_REMOVED,1.0,1,0.95,22429995.24,XGB_02_ne900_lr0.04_md3,298,142,0.3087248322147651,0.33098591549295775,82,1,0.7578947368421052,0.704225352112676,0.38235294117647056,142,0.33098591549295775
BASELINE_ONLY,TOP5_REMOVED,1.0,1,0.95,22429995.24,XGB_05_ne1600_lr0.02_md5,298,142,0.3087248322147651,0.33098591549295775,82,1,0.7567749160134378,0.704225352112676,0.4,142,0.33098591549295775
BASELINE_ONLY,TOP5_REMOVED,1.0,1,0.95,22429995.24,XGB_04_ne1400_lr0.025_md4,298,142,0.3087248322147651,0.33098591549295775,82,1,0.7561030235162374,0.7183098591549296,0.42857142857142855,142,0.33098591549295775
BASELINE_ONLY,TOP5_REMOVED,1.0,1,0.95,22429995.24,GAM_Splines_Logit,298,142,0.3087248322147651,0.33098591549295775,82,1,0.7426651735722285,0.704225352112676,0.5116279069767442,142,0.33098591549295775
BASELINE_ONLY,TOP5_REMOVED,1.5,1,0.95,22429995.24,XGB_06_ne2500_lr0.005_md4,298,142,0.17785234899328858,0.24647887323943662,82,1,0.8686248331108145,0.7887323943661971,0.3181818181818182,142,0.24647887323943662
BASELINE_ONLY,TOP5_REMOVED,1.5,1,0.95,22429995.24,XGB_03_ne1200_lr0.03_md4,298,142,0.17785234899328858,0.24647887323943662,82,1,0.8606141522029372,0.8098591549295775,0.425531914893617,142,0.24647887323943662
BASELINE_ONLY,TOP5_REMOVED,1.5,1,0.95,22429995.24,XGB_04_ne1400_lr0.025_md4,298,142,0.17785234899328858,0.24647887323943662,82,1,0.8574098798397863,0.795774647887324,0.35555555555555557,142,0.24647887323943662
BASELINE_ONLY,TOP5_REMOVED,1.5,1,0.95,22429995.24,XGB_01_ne600_lr0.05_md3,298,142,0.17785234899328858,0.24647887323943662,82,1,0.8555407209612818,0.7816901408450704,0.27906976744186046,142,0.24647887323943662
BASELINE_ONLY,TOP5_REMOVED,1.5,1,0.95,22429995.24,XGB_05_ne1600_lr0.02_md5,298,142,0.17785234899328858,0.24647887323943662,82,1,0.8552736982643525,0.795774647887324,0.35555555555555557,142,0.24647887323943662
BASELINE_ONLY,TOP5_REMOVED,1.5,1,0.95,22429995.24,XGB_02_ne900_lr0.04_md3,298,142,0.17785234899328858,0.24647887323943662,82,1,0.8552736982643524,0.795774647887324,0.3829787234042553,142,0.24647887323943662
BASELINE_ONLY,TOP5_REMOVED,1.5,1,0.95,22429995.24,RandomForest_v2,298,142,0.17785234899328858,0.24647887323943662,82,1,0.8355140186915888,0.8169014084507042,0.4090909090909091,142,0.24647887323943662
BASELINE_ONLY,TOP5_REMOVED,1.5,1,0.95,22429995.24,Logistic_ElasticNet,298,142,0.17785234899328858,0.24647887323943662,82,1,0.7925233644859814,0.7605633802816901,0.15,142,0.24647887323943662
BASELINE_ONLY,TOP5_REMOVED,1.5,1,0.95,22429995.24,Logistic_L2,298,142,0.17785234899328858,0.24647887323943662,82,1,0.7855807743658211,0.7676056338028169,0.1951219512195122,142,0.24647887323943662
BASELINE_ONLY,TOP5_REMOVED,1.5,1,0.95,22429995.24,GAM_Splines_Logit,298,142,0.17785234899328858,0.24647887323943662,82,1,0.7158878504672898,0.7676056338028169,0.35294117647058826,142,0.24647887323943662
BASELINE_ONLY,TOP5_REMOVED,2.0,1,0.95,22429995.24,XGB_06_ne2500_lr0.005_md4,298,142,0.1040268456375839,0.11971830985915492,82,1,0.9039999999999999,0.8873239436619719,0.2727272727272727,142,0.11971830985915492
BASELINE_ONLY,TOP5_REMOVED,2.0,1,0.95,22429995.24,XGB_04_ne1400_lr0.025_md4,298,142,0.1040268456375839,0.11971830985915492,82,1,0.8774117647058823,0.8943661971830986,0.4,142,0.11971830985915492
BASELINE_ONLY,TOP5_REMOVED,2.0,1,0.95,22429995.24,XGB_05_ne1600_lr0.02_md5,298,142,0.1040268456375839,0.11971830985915492,82,1,0.8774117647058823,0.8873239436619719,0.2727272727272727,142,0.11971830985915492
BASELINE_ONLY,TOP5_REMOVED,2.0,1,0.95,22429995.24,XGB_02_ne900_lr0.04_md3,298,142,0.1040268456375839,0.11971830985915492,82,1,0.8715294117647058,0.8732394366197183,0.25,142,0.11971830985915492
BASELINE_ONLY,TOP5_REMOVED,2.0,1,0.95,22429995.24,XGB_01_ne600_lr0.05_md3,298,142,0.1040268456375839,0.11971830985915492,82,1,0.8710588235294118,0.8661971830985915,0.17391304347826086,142,0.11971830985915492
BASELINE_ONLY,TOP5_REMOVED,2.0,1,0.95,22429995.24,XGB_03_ne1200_lr0.03_md4,298,142,0.1040268456375839,0.11971830985915492,82,1,0.8698823529411764,0.8661971830985915,0.09523809523809523,142,0.11971830985915492
BASELINE_ONLY,TOP5_REMOVED,2.0,1,0.95,22429995.24,RandomForest_v2,298,142,0.1040268456375839,0.11971830985915492,82,1,0.8489411764705882,0.9014084507042254,0.36363636363636365,142,0.11971830985915492
BASELINE_ONLY,TOP5_REMOVED,2.0,1,0.95,22429995.24,Logistic_ElasticNet,298,142,0.1040268456375839,0.11971830985915492,82,1,0.804235294117647,0.8661971830985915,0.09523809523809523,142,0.11971830985915492
BASELINE_ONLY,TOP5_REMOVED,2.0,1,0.95,22429995.24,Logistic_L2,298,142,0.1040268456375839,0.11971830985915492,82,1,0.7948235294117647,0.8661971830985915,0.09523809523809523,142,0.11971830985915492
BASELINE_ONLY,TOP5_REMOVED,2.0,1,0.95,22429995.24,GAM_Splines_Logit,298,142,0.1040268456375839,0.11971830985915492,82,1,0.7091764705882353,0.8450704225352113,0.15384615384615385,142,0.11971830985915492
BASELINE_ONLY,TOP5_REMOVED,2.5,1,0.95,22429995.24,RandomForest_v2,298,142,0.03691275167785235,0.06338028169014084,82,1,0.9248120300751879,0.9366197183098591,0.0,142,0.06338028169014084
BASELINE_ONLY,TOP5_REMOVED,2.5,1,0.95,22429995.24,Logistic_ElasticNet,298,142,0.03691275167785235,0.06338028169014084,82,1,0.837092731829574,0.9507042253521126,0.36363636363636365,142,0.06338028169014084
BASELINE_ONLY,TOP5_REMOVED,2.5,1,0.95,22429995.24,Logistic_L2,298,142,0.03691275167785235,0.06338028169014084,82,1,0.8329156223893066,0.9436619718309859,0.2,142,0.06338028169014084
BASELINE_ONLY,TOP5_REMOVED,2.5,1,0.95,22429995.24,GAM_Splines_Logit,298,142,0.03691275167785235,0.06338028169014084,82,1,0.824561403508772,0.9366197183098591,0.3076923076923077,142,0.06338028169014084
BASELINE_ONLY,TOP5_REMOVED,2.5,1,0.95,22429995.24,XGB_01_ne600_lr0.05_md3,298,142,0.03691275167785235,0.06338028169014084,82,1,0.5,0.9366197183098591,0.0,142,0.06338028169014084
