run,variant,war_loss_threshold,post_years,cut_pct,cut_value,model,n_train,n_test,pos_rate_train,pos_rate_test,n_features_numeric,n_features_categorical,AUC,Accuracy,F1,n_eval,pos_rate_eval
BASELINE_ONLY,TOP5_REMOVED,0.5,3,0.95,22429995.24,RandomForest_v2,303,145,0.5379537953795379,0.5517241379310345,82,1,0.7282692307692307,0.6758620689655173,0.7151515151515152,145,0.5517241379310345
BASELINE_ONLY,TOP5_REMOVED,0.5,3,0.95,22429995.24,XGB_06_ne2500_lr0.005_md4,303,145,0.5379537953795379,0.5517241379310345,82,1,0.6840384615384616,0.6482758620689655,0.6871165644171779,145,0.5517241379310345
BASELINE_ONLY,TOP5_REMOVED,0.5,3,0.95,22429995.24,XGB_05_ne1600_lr0.02_md5,303,145,0.5379537953795379,0.5517241379310345,82,1,0.6728846153846154,0.6551724137931034,0.6951219512195121,145,0.5517241379310345
BASELINE_ONLY,TOP5_REMOVED,0.5,3,0.95,22429995.24,XGB_01_ne600_lr0.05_md3,303,145,0.5379537953795379,0.5517241379310345,82,1,0.6703846153846155,0.6275862068965518,0.6707317073170732,145,0.5517241379310345
BASELINE_ONLY,TOP5_REMOVED,0.5,3,0.95,22429995.24,Logistic_ElasticNet,303,145,0.5379537953795379,0.5517241379310345,82,1,0.67,0.6137931034482759,0.5625,145,0.5517241379310345
BASELINE_ONLY,TOP5_REMOVED,0.5,3,0.95,22429995.24,XGB_03_ne1200_lr0.03_md4,303,145,0.5379537953795379,0.5517241379310345,82,1,0.6694230769230769,0.6551724137931034,0.691358024691358,145,0.5517241379310345
BASELINE_ONLY,TOP5_REMOVED,0.5,3,0.95,22429995.24,XGB_02_ne900_lr0.04_md3,303,145,0.5379537953795379,0.5517241379310345,82,1,0.6642307692307692,0.6413793103448275,0.6790123456790124,145,0.5517241379310345
BASELINE_ONLY,TOP5_REMOVED,0.5,3,0.95,22429995.24,XGB_04_ne1400_lr0.025_md4,303,145,0.5379537953795379,0.5517241379310345,82,1,0.6640384615384615,0.6413793103448275,0.6790123456790124,145,0.5517241379310345
BASELINE_ONLY,TOP5_REMOVED,0.5,3,0.95,22429995.24,Logistic_L2,303,145,0.5379537953795379,0.5517241379310345,82,1,0.6619230769230768,0.6068965517241379,0.5511811023622047,145,0.5517241379310345
BASELINE_ONLY,TOP5_REMOVED,0.5,3,0.95,22429995.24,GAM_Splines_Logit,303,145,0.5379537953795379,0.5517241379310345,82,1,0.6513461538461538,0.6068965517241379,0.6174496644295302,145,0.5517241379310345
BASELINE_ONLY,TOP5_REMOVED,1.0,3,0.95,22429995.24,XGB_06_ne2500_lr0.005_md4,303,145,0.33993399339933994,0.33793103448275863,82,1,0.8505527210884354,0.7793103448275862,0.6666666666666666,145,0.33793103448275863
BASELINE_ONLY,TOP5_REMOVED,1.0,3,0.95,22429995.24,XGB_02_ne900_lr0.04_md3,303,145,0.33993399339933994,0.33793103448275863,82,1,0.8473639455782314,0.7724137931034483,0.6526315789473685,145,0.33793103448275863
BASELINE_ONLY,TOP5_REMOVED,1.0,3,0.95,22429995.24,XGB_01_ne600_lr0.05_md3,303,145,0.33993399339933994,0.33793103448275863,82,1,0.8450255102040817,0.7862068965517242,0.6804123711340206,145,0.33793103448275863
BASELINE_ONLY,TOP5_REMOVED,1.0,3,0.95,22429995.24,RandomForest_v2,303,145,0.33993399339933994,0.33793103448275863,82,1,0.8420493197278912,0.7655172413793103,0.66,145,0.33793103448275863
BASELINE_ONLY,TOP5_REMOVED,1.0,3,0.95,22429995.24,XGB_05_ne1600_lr0.02_md5,303,145,0.33993399339933994,0.33793103448275863,82,1,0.8401360544217688,0.7655172413793103,0.6382978723404256,145,0.33793103448275863
BASELINE_ONLY,TOP5_REMOVED,1.0,3,0.95,22429995.24,XGB_03_ne1200_lr0.03_md4,303,145,0.33993399339933994,0.33793103448275863,82,1,0.8397108843537415,0.7724137931034483,0.6526315789473685,145,0.33793103448275863
BASELINE_ONLY,TOP5_REMOVED,1.0,3,0.95,22429995.24,XGB_04_ne1400_lr0.025_md4,303,145,0.33993399339933994,0.33793103448275863,82,1,0.8388605442176871,0.7586206896551724,0.631578947368421,145,0.33793103448275863
BASELINE_ONLY,TOP5_REMOVED,1.0,3,0.95,22429995.24,Logistic_ElasticNet,303,145,0.33993399339933994,0.33793103448275863,82,1,0.8218537414965986,0.7310344827586207,0.5517241379310345,145,0.33793103448275863
BASELINE_ONLY,TOP5_REMOVED,1.0,3,0.95,22429995.24,Logistic_L2,303,145,0.33993399339933994,0.33793103448275863,82,1,0.8146258503401361,0.7310344827586207,0.5517241379310345,145,0.33793103448275863
BASELINE_ONLY,TOP5_REMOVED,1.0,3,0.95,22429995.24,GAM_Splines_Logit,303,145,0.33993399339933994,0.33793103448275863,82,1,0.8029336734693878,0.7586206896551724,0.631578947368421,145,0.33793103448275863
BASELINE_ONLY,TOP5_REMOVED,1.5,3,0.95,22429995.24,RandomForest_v2,303,145,0.18151815181518152,0.22758620689655173,82,1,0.8760822510822511,0.8413793103448276,0.5106382978723404,145,0.22758620689655173
BASELINE_ONLY,TOP5_REMOVED,1.5,3,0.95,22429995.24,XGB_06_ne2500_lr0.005_md4,303,145,0.18151815181518152,0.22758620689655173,82,1,0.8720238095238095,0.8551724137931035,0.5531914893617021,145,0.22758620689655173
BASELINE_ONLY,TOP5_REMOVED,1.5,3,0.95,22429995.24,Logistic_ElasticNet,303,145,0.18151815181518152,0.22758620689655173,82,1,0.8576839826839827,0.7724137931034483,0.15384615384615385,145,0.22758620689655173
