trial_number,cv_auc,model_type,use_robust_scaler,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_reg_alpha,xgb_min_child_weight,xgb_gamma,xgb_scale_pos_weight
1441,0.7908414328504187,xgboost,False,996,4,0.0016025290055142192,0.6131597599653928,0.7494614029946829,0.530800654790537,2.0657793417159307,11,0.5055382820273069,0.5925610882147956
3066,0.7902495058785175,xgboost,False,996,8,0.0021579396501347253,0.5881043994409578,0.6984551072030062,0.45272497239936393,1.5184852516119605,11,0.9295565438465999,0.6189673784281962
1447,0.78988579171506,xgboost,False,1041,4,0.0013871345771499857,0.6305578546708338,0.7480515299058826,0.6693829991199013,1.7005340968340226,11,0.5302309219108736,0.5732924999534518
1848,0.7898358701632129,xgboost,False,941,7,0.0016048053671136526,0.6264862724429127,0.7055028905077096,0.501514972904639,0.3846741801369474,11,0.4343681097199516,0.5715990204339431
3590,0.7893819915642766,xgboost,False,942,8,0.0016332849013468576,0.5820137697146212,0.7116668678429395,0.631064251722945,0.552312499105577,11,0.4044182538943316,0.6363577666511081
3039,0.7893009963934225,xgboost,False,958,4,0.0024071109346055692,0.5820617413489967,0.7280053260681131,0.47977197191422466,1.5906831715151095,11,0.3159066242089436,0.6182076471348947
202,0.7892704321780061,xgboost,True,1941,6,0.001001433552156545,0.6747396220722024,0.6990418896258458,0.8486859935756164,2.510071726650776,12,0.4406900116330833,0.5823233531700872
3080,0.7890941785357704,xgboost,False,1040,4,0.002081368716685297,0.5879268851970426,0.7251495540957672,0.34022103278072546,1.2171222604310654,11,0.9894117653383716,0.617571532590165
201,0.7890870468855063,xgboost,True,1998,6,0.0010030312877744698,0.6754765403555091,0.6935675407952907,0.8937367473916,2.600118078893922,12,0.3615031677413607,0.5949103289583497
2261,0.7890299936833955,xgboost,True,709,7,0.0016783371136225693,0.5908358379256383,0.7438786628992295,1.0819408402320738,2.3301633541507605,12,0.43027678838221234,0.7011153519368744
