cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3160265.6603729823,3035408.711256544,4140232.82714303,0.45440168633570877,1500,0.03,3,3,0.85,0.8,2.0,0.5,0.3
3189311.833316842,3038526.627717277,4138386.0975876646,0.45488830042819406,2500,0.01,5,7,0.7,0.7,1.0,1.0,0.3
3156618.9236607025,3039780.525026178,4101510.937819352,0.4645594741800496,1000,0.01,3,3,0.7,0.9,2.0,0.0,0.3
3160695.0394185963,3044765.265298429,4142577.3482916653,0.45378359116076505,3000,0.05,4,10,0.85,0.85,2.0,1.0,0.5
3157107.059541404,3046883.7771832454,4122374.5098134484,0.45909826002154175,2500,0.005,3,7,0.8,0.7,2.0,0.5,0.3
3235108.3810536847,3047015.5335916225,4152022.8356321943,0.4512898962573558,500,0.02,4,5,0.7,0.9,0.5,0.5,0.1
3168612.735015088,3051075.2347539263,4163716.0049501094,0.4481949253545313,3000,0.03,6,5,0.8,0.85,3.0,0.5,0.3
3129307.9992221054,3051975.7219267017,4125510.6882515983,0.4582749434395501,3000,0.05,6,3,0.8,0.9,2.0,1.0,0.5
3195382.367257193,3052931.860314136,4125659.515026586,0.4582358575404111,2000,0.005,3,7,0.8,0.8,1.5,0.5,0.0
3236168.819587018,3055906.1613717275,4150119.274566215,0.45179291071405014,3000,0.005,6,7,0.8,0.9,1.5,0.1,0.3
3183354.0775659657,3056806.198753926,4145210.2509516003,0.45308905173121383,1000,0.05,4,5,0.8,0.9,2.0,1.0,0.3
3237547.870818597,3056831.6824816745,4200324.440011416,0.43844905166087567,3000,0.01,4,7,0.85,0.7,1.5,0.5,0.1
3178215.1210045624,3057274.939748691,4120323.822174141,0.45963627257574724,2500,0.01,5,3,0.7,0.8,3.0,0.0,0.3
3157819.757958947,3058373.7220104714,4105400.884284828,0.4635433497754162,3000,0.03,5,3,0.8,0.7,3.0,0.5,0.5
3227386.9366150876,3060932.2524188478,4153390.589691196,0.4509283259501693,1000,0.01,4,10,0.7,0.9,1.5,1.0,0.3
3255788.7981589474,3061029.840596859,4191158.071016131,0.4408973228398225,500,0.05,5,10,0.9,0.9,1.0,0.1,0.3
3222438.3359975447,3069789.8684607325,4127209.8239732096,0.45782862102469324,2000,0.03,4,5,0.7,0.8,1.0,0.5,0.5
3132630.5615870184,3069893.963560209,4168254.804900685,0.44699124195342244,1500,0.05,3,3,0.85,0.9,2.0,0.5,0.3
3203913.624355439,3070811.488335078,4133928.5169583405,0.4560619805282855,1000,0.02,3,7,0.8,0.8,1.5,0.1,0.5
3159423.0222536847,3071116.388293194,4169120.9730287683,0.4467613863656915,1000,0.03,3,5,0.8,0.9,1.5,1.0,0.3
3181720.1422256143,3072264.1528900526,4135841.454267124,0.45555845944793416,2500,0.03,4,3,0.8,0.85,1.0,0.5,0.5
3154751.9964992986,3072360.477089005,4187164.5343834865,0.44196229496768424,2500,0.01,6,7,0.85,0.8,3.0,0.5,0.3
3154815.8577554394,3072481.357455497,4180826.8764832253,0.44365029911327614,3000,0.01,5,5,0.85,0.8,2.0,0.5,0.3
3212326.1944150883,3072681.6250785333,4208577.610039715,0.4362401134062611,1000,0.02,3,3,0.8,0.9,3.0,0.5,0.1
3161766.3712501763,3072996.183748691,4130919.2930084746,0.4568535934247201,2000,0.02,3,3,0.7,0.7,0.5,1.0,0.5
3338216.011264211,3073448.667403141,4225626.455323721,0.43166330676926845,1000,0.01,6,5,0.7,0.8,1.0,0.0,0.0
3298617.7406501756,3075961.5801465968,4197011.873087897,0.4393344316426102,3000,0.05,3,3,0.7,0.8,1.5,0.5,0.3
3135507.717727369,3076995.8662303668,4163389.270814481,0.4482815241907193,1500,0.01,4,7,0.85,0.7,0.5,1.0,0.3
3160407.375516843,3077762.580963351,4146342.7363622948,0.45279017508121755,2000,0.01,4,3,0.8,0.8,1.0,0.5,0.5
3152177.2382571935,3077837.550062827,4189275.669588961,0.4413994367241201,3000,0.01,3,7,0.85,0.85,0.5,1.0,0.3
3153619.815667719,3078080.692,4213835.560803685,0.43483057618780496,3000,0.05,3,5,0.85,0.9,3.0,1.0,0.3
3144413.67586772,3079730.3257277487,4166385.0084186587,0.44748726820884976,2500,0.01,4,3,0.8,0.85,0.5,1.0,0.5
3311800.6863484215,3080396.014214659,4255495.899782088,0.4236001711540758,2500,0.01,5,7,0.7,0.7,3.0,0.1,0.1
3196817.82518,3081973.8578324607,4243116.640386869,0.42694879359549487,3000,0.01,3,7,0.85,0.8,0.5,1.0,0.1
3224585.442130877,3083689.013298429,4118759.3753823754,0.46004653635442194,1500,0.01,5,3,0.7,0.7,0.5,0.0,0.5
3219049.184976492,3085166.773151832,4141220.7122863303,0.45414128901325146,1500,0.005,5,7,0.7,0.9,1.5,0.0,0.5
3214027.513299299,3085504.7469738214,4181613.398122439,0.4434409518947452,500,0.02,3,10,0.8,0.9,3.0,0.0,0.1
3381018.223418597,3085889.8663821984,4232564.323000191,0.4297955213557939,2000,0.01,4,7,0.85,0.85,1.0,0.0,0.1
3217334.0848677196,3087380.643664921,4255962.401416684,0.42347379048913836,2000,0.02,3,5,0.9,0.85,1.0,0.5,0.1
3189597.340309825,3087645.14183246,4250612.603686298,0.42492228077901817,3000,0.02,3,5,0.85,0.7,0.5,1.0,0.1
3235950.3788677193,3087965.862952879,4211261.451031667,0.43552085646366,1500,0.05,6,10,0.7,0.7,0.5,1.0,0.3
3283218.052229123,3088992.062937172,4234165.570243853,0.42936400467294233,2500,0.03,6,7,0.7,0.85,0.5,0.1,0.3
3204746.6135519296,3089760.4516230365,4185385.3944776575,0.4424364183101407,3000,0.005,6,7,0.85,0.9,3.0,0.0,0.3
3247172.473169474,3089977.27243979,4163737.3013986973,0.44818928062831,1000,0.01,4,7,0.8,0.9,3.0,0.1,0.1
3194851.0633905265,3090724.588083769,4192071.966207209,0.440653468063806,1000,0.03,5,10,0.7,0.85,1.5,1.0,0.3
3180493.2679800005,3090928.280795811,4191510.392401377,0.44080331917501137,3000,0.01,3,10,0.9,0.9,1.0,0.1,0.5
3292602.6325098253,3092045.1813979056,4217134.197967398,0.4339453880824512,2500,0.02,3,5,0.7,0.7,1.5,0.1,0.3
3364118.5282677193,3093301.333314135,4301584.810880901,0.4110472278816113,2500,0.01,4,7,0.7,0.8,1.5,0.5,0.0
3224145.9943133336,3093355.4937172774,4180054.7934345733,0.4438557649328544,500,0.02,3,7,0.9,0.9,2.0,0.5,0.0
3157601.5285063162,3093466.70904712,4166141.131289994,0.44755194839308043,1500,0.03,4,7,0.7,0.8,3.0,1.0,0.5
3253759.6424747375,3093639.5521204183,4224432.40359616,0.43198445561521215,2000,0.01,3,3,0.8,0.85,0.5,0.1,0.1
3181437.291853685,3093775.238554974,4173584.7600736064,0.44557607108545016,2000,0.03,6,10,0.8,0.7,2.0,0.5,0.5
3152489.5968992985,3093925.245706806,4170489.8246769253,0.4463980359540387,500,0.01,4,5,0.7,0.85,0.5,1.0,0.3
3209986.4928747364,3094003.422,4191844.677808701,0.4407141204247348,2500,0.05,3,7,0.7,0.7,1.0,1.0,0.5
3219451.459909825,3096384.592984293,4147067.9494060045,0.45259873967283915,500,0.02,4,7,0.8,0.7,1.5,0.1,0.5
3197178.735253684,3096598.1342198947,4231643.934861658,0.4300434809082896,3000,0.03,6,10,0.85,0.9,3.0,0.1,0.3
3148155.8453273685,3096696.7455183244,4208713.842990102,0.4362036146540268,1000,0.01,5,7,0.85,0.8,2.0,1.0,0.1
3182096.6684256145,3097803.5919790575,4217408.769865394,0.43387167558408246,3000,0.03,3,5,0.7,0.8,3.0,1.0,0.3
3193610.339102807,3098385.4958848166,4202562.784204582,0.4378503935172744,3000,0.005,4,10,0.9,0.8,0.5,0.1,0.5
3201712.454109825,3098803.561204188,4165664.2496722164,0.4476784142203851,1000,0.01,4,3,0.7,0.85,2.0,0.0,0.1
3162407.869453685,3100714.1184921465,4189642.4501497727,0.4413016189565395,2500,0.005,4,10,0.85,0.8,2.0,0.1,0.5
3224536.882530878,3102053.8008900527,4174225.3833759166,0.44540585571064306,2500,0.01,5,7,0.9,0.7,2.0,0.0,0.3
3202900.4467414035,3102590.4068167536,4289829.025993574,0.4142619227714177,1500,0.02,3,10,0.85,0.9,1.5,1.0,0.1
3159365.6081414036,3102742.2822827226,4200226.73953003,0.4384751749571528,1500,0.05,5,3,0.85,0.9,2.0,1.0,0.3
3249775.8704642113,3103963.2659685863,4191573.141376908,0.44078657615008376,500,0.02,3,7,0.9,0.8,0.5,0.5,0.1
3190095.71078,3104000.081905759,4200910.296284533,0.43829239181523905,500,0.02,5,5,0.7,0.85,3.0,1.0,0.0
3210891.916909825,3105297.1715863873,4209443.404967345,0.4360081344804454,2500,0.005,5,3,0.7,0.8,3.0,0.5,0.0
3231124.2314677197,3105857.9134240835,4221391.599122152,0.432801892091339,2500,0.01,6,7,0.9,0.85,2.0,0.1,0.3
3273781.124050176,3106158.4280628273,4206418.395922573,0.4368184399363946,3000,0.05,4,5,0.85,0.8,1.0,0.1,0.5
3294331.0437098253,3106907.4282931937,4214666.958740071,0.43460753613791625,1000,0.01,6,7,0.85,0.8,0.5,0.1,0.3
3129221.0826536845,3107623.7444293187,4229049.286186292,0.43074220867119883,2000,0.01,5,3,0.8,0.9,2.0,1.0,0.1
3293383.056818597,3107825.770471204,4209003.077397466,0.43612612071038537,500,0.05,5,7,0.8,0.9,0.5,0.0,0.3
3153757.9415028077,3108768.229811518,4209914.163017932,0.4358819807200739,2000,0.03,5,3,0.9,0.85,2.0,1.0,0.3
3168311.395941404,3109214.296209424,4190071.6345884074,0.4411871476451641,1000,0.05,4,7,0.85,0.85,3.0,0.1,0.5
3171989.0655589476,3111469.751717278,4205634.2889942955,0.4370283826303196,3000,0.005,6,10,0.85,0.85,2.0,0.5,0.3
3260760.3127203514,3111522.8846492143,4291535.514467665,0.4137958183730971,2000,0.02,3,5,0.7,0.8,1.0,1.0,0.1
3323932.9099238594,3112033.5708900522,4247605.439711256,0.4257356888366478,3000,0.03,3,10,0.8,0.7,1.0,0.1,0.3
3190659.3671800005,3113147.8056753925,4190505.3329871353,0.44107146046695866,500,0.01,6,3,0.8,0.9,1.5,0.0,0.3
3197323.185394036,3116806.147026178,4169553.5003724936,0.4466465884300034,2500,0.05,4,3,0.8,0.7,1.0,0.0,0.5
3196565.0327659654,3116871.0111937174,4232485.202825359,0.4298168390501884,500,0.02,4,10,0.8,0.85,1.5,1.0,0.0
3157260.1808922812,3116970.107382199,4203379.467308007,0.4376318874689401,2000,0.01,5,7,0.85,0.8,1.0,1.0,0.5
3192314.7325484217,3117430.6561047114,4167409.287285042,0.44721557143661095,2000,0.005,6,3,0.8,0.9,2.0,0.0,0.3
