cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3186503.802369474,3035242.946094241,4132339.2089439305,0.4564801391260923,2500,0.01,5,7,0.7,0.7,1.0,1.0,0.3
3146958.438204562,3043777.7434869106,4128822.1093378854,0.45740494219264793,3000,0.05,6,3,0.8,0.9,2.0,1.0,0.5
3161382.5656782463,3048591.6653403137,4104852.7068242454,0.46368660195434164,1000,0.01,3,3,0.7,0.9,2.0,0.0,0.3
3303331.1870887727,3049593.1639476432,4154713.5907250345,0.45057847294584674,3000,0.05,3,3,0.7,0.8,1.5,0.5,0.3
3275770.9530115793,3052040.0066596856,4123432.6224004165,0.45882055192384075,2000,0.005,4,7,0.7,0.8,1.0,0.0,0.3
3149734.2922607022,3055635.325507853,4156473.86700538,0.4501128145849025,3000,0.05,4,10,0.85,0.85,2.0,1.0,0.5
3153320.061962457,3057695.550743455,4124346.2518926,0.45858070695684394,2500,0.005,3,7,0.8,0.7,2.0,0.5,0.3
3163520.687060702,3059381.3729109946,4133801.4753629877,0.45609541201684156,1000,0.05,4,5,0.8,0.9,2.0,1.0,0.3
3228636.2221414037,3061495.426502617,4159885.9045060044,0.44920964239806105,1000,0.01,4,10,0.7,0.9,1.5,1.0,0.3
3198705.889572983,3063664.807958115,4132680.7436770527,0.45639029239649376,2000,0.005,3,7,0.8,0.8,1.5,0.5,0.0
3247458.0638852636,3064081.16791623,4155371.9851048253,0.45040432630508787,3000,0.005,6,7,0.8,0.9,1.5,0.1,0.3
3206644.364004561,3064432.7041465966,4158168.0131277842,0.44966446383040404,2500,0.05,3,7,0.7,0.7,1.0,1.0,0.5
3168557.9972677194,3064737.7158010467,4171623.8329414693,0.4460969324478544,3000,0.03,6,5,0.8,0.85,3.0,0.5,0.3
3219023.553411579,3066958.586994764,4171219.8398711914,0.4462042106562547,500,0.02,4,5,0.7,0.9,0.5,0.5,0.1
3134929.673572983,3067098.9002931938,4171671.4123114743,0.44608429731566357,1500,0.05,5,3,0.85,0.9,2.0,1.0,0.3
3144049.667239649,3068212.986659685,4199594.266495427,0.43864427181444543,3000,0.05,3,5,0.85,0.9,3.0,1.0,0.3
3219540.5743624563,3071677.1001151823,4207070.893355542,0.4366437055239447,3000,0.03,6,10,0.85,0.9,3.0,0.1,0.3
3172526.8025343865,3074650.9956020946,4168057.9852952356,0.44704346543828644,1500,0.03,3,3,0.85,0.8,2.0,0.5,0.3
3246899.0200221054,3074691.452376963,4203440.354604856,0.43761559518675663,3000,0.01,4,7,0.85,0.7,1.5,0.5,0.1
3142977.241692281,3075564.613685864,4166624.744767288,0.4474236825366362,2500,0.01,4,3,0.8,0.85,0.5,1.0,0.5
3208219.028172983,3076365.7415811517,4151482.705070778,0.4514326487568582,1000,0.02,3,7,0.8,0.8,1.5,0.1,0.5
3150585.8108501756,3077152.627717277,4178722.9569749483,0.44421010247480397,1000,0.03,3,5,0.8,0.9,1.5,1.0,0.3
3163851.266864211,3077455.75704712,4125293.652830566,0.4583319402295025,2000,0.02,3,3,0.7,0.7,0.5,1.0,0.5
