cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3189521.565772983,3037327.9418534026,4128214.4997952497,0.45756463019441074,2500,0.01,5,7,0.7,0.7,1.0,1.0,0.3
3301677.443281755,3049882.67243979,4146050.956967095,0.4528671870139459,3000,0.05,3,3,0.7,0.8,1.5,0.5,0.3
3146908.9333589473,3050487.785455497,4176270.8271054523,0.4448622008063463,3000,0.05,3,5,0.85,0.9,3.0,1.0,0.3
3158858.9384852634,3054102.6640314134,4108092.977331985,0.46283956236515467,1000,0.01,3,3,0.7,0.9,2.0,0.0,0.3
3146980.0785554387,3054795.4783979054,4134476.1817275295,0.4559178486588812,3000,0.05,6,3,0.8,0.9,2.0,1.0,0.5
3147024.143137895,3055395.4799581147,4153129.054591379,0.45099747282704117,3000,0.05,4,10,0.85,0.85,2.0,1.0,0.5
3217181.1560431584,3059119.1107120416,4148891.643359456,0.4521171889083988,500,0.02,4,5,0.7,0.9,0.5,0.5,0.1
3164600.8081133333,3059435.4880942404,4146629.201265735,0.4527145605772256,1000,0.05,4,5,0.8,0.9,2.0,1.0,0.3
3153822.7563133338,3059568.423780104,4124163.818392825,0.45862860343590484,2500,0.005,3,7,0.8,0.7,2.0,0.5,0.3
3196777.0729063167,3060641.0736649213,4129461.0090999603,0.45723700534975065,2000,0.005,3,7,0.8,0.8,1.5,0.5,0.0
3227819.0459414036,3064451.7313717273,4160625.0086509576,0.4490139026059322,1000,0.01,4,10,0.7,0.9,1.5,1.0,0.3
3249259.384060702,3066184.3066596854,4154460.2935558283,0.45064546320749754,3000,0.005,6,7,0.8,0.9,1.5,0.1,0.3
3135190.316555439,3068922.8178324606,4175988.9152262425,0.4449371454948219,1500,0.05,5,3,0.85,0.9,2.0,1.0,0.3
3206036.328916842,3070142.3879685863,4150613.5256116,0.4516623274496627,2500,0.05,3,7,0.7,0.7,1.0,1.0,0.5
3162487.1493203514,3070412.7239685864,4116078.0636691563,0.4607493267635363,2000,0.02,3,3,0.7,0.7,0.5,1.0,0.5
3171103.7910747374,3071099.766544503,4157440.589739242,0.44985699665880763,1500,0.03,3,3,0.85,0.8,2.0,0.5,0.3
3317406.4894957896,3071594.037188481,4212728.5661122985,0.43512748258750733,2500,0.01,5,7,0.7,0.7,3.0,0.1,0.1
3249882.4813028076,3073323.34235602,4202918.835518524,0.4377551361255022,3000,0.01,4,7,0.85,0.7,1.5,0.5,0.1
3165083.2025308777,3073420.3493089,4176437.8877864326,0.44481778627598945,3000,0.03,6,5,0.8,0.85,3.0,0.5,0.3
3221682.9125203514,3073727.8387748688,4201186.371946262,0.4382185607242304,3000,0.03,6,10,0.85,0.9,3.0,0.1,0.3
3150430.998569474,3074395.9037905755,4179272.249635903,0.44406397583269763,1000,0.03,3,5,0.8,0.9,1.5,1.0,0.3
3220121.591737895,3075460.1148586385,4225680.099485974,0.431648876653578,1500,0.05,6,5,0.85,0.85,1.0,1.0,0.1
3153257.694730878,3075653.3831099477,4116290.1849616403,0.4606937449716194,3000,0.03,5,3,0.8,0.7,3.0,0.5,0.5
3142648.859236141,3076733.3885549735,4167145.4791198634,0.44728555469004316,2500,0.01,4,3,0.8,0.85,0.5,1.0,0.5
3157175.944464211,3080330.3849738217,4189697.3368867454,0.441286980317411,2500,0.01,6,7,0.85,0.8,3.0,0.5,0.3
3335260.942881755,3081518.6287120413,4187456.622161694,0.4418844371824413,1000,0.01,6,5,0.7,0.8,1.0,0.0,0.0
3156841.7696782458,3081636.085036649,4141182.4762836015,0.4541513688231721,1500,0.03,4,7,0.7,0.8,3.0,1.0,0.5
3212731.573787018,3083108.240167539,4154596.2532306816,0.4506095060524956,1000,0.02,3,7,0.8,0.8,1.5,0.1,0.5
3163264.836372983,3083347.87939267,4150947.7504162528,0.45157401499700145,2000,0.01,4,3,0.8,0.8,1.0,0.5,0.5
3133340.270190527,3083642.09026178,4165214.483689713,0.447797675896369,1500,0.01,4,7,0.85,0.7,0.5,1.0,0.3
