cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3191910.1716677193,3036691.180073298,4128709.4485304714,0.45743455275066847,2500,0.01,5,7,0.7,0.7,1.0,1.0,0.3
3156710.960415088,3043361.397696335,4095734.8156713364,0.46606652471168997,1000,0.01,3,3,0.7,0.9,2.0,0.0,0.3
3155400.103401053,3053423.525874345,4116656.30183996,0.4605978052324,2500,0.005,3,7,0.8,0.7,2.0,0.5,0.3
3143602.7514887727,3053537.510062827,4144958.33049293,0.45315552549825877,3000,0.05,4,10,0.85,0.85,2.0,1.0,0.5
3290146.4882642105,3054886.8853507848,4178433.3196539613,0.44428714606909814,2500,0.03,6,7,0.7,0.85,0.5,0.1,0.3
3140634.0557484212,3057444.6878219894,4131970.9736965653,0.456577001577531,3000,0.05,6,3,0.8,0.9,2.0,1.0,0.5
3168636.830372983,3057598.9956020946,4146724.669918806,0.45268935976824276,1500,0.03,3,3,0.85,0.8,2.0,0.5,0.3
3249414.071587018,3058017.7294345545,4145624.797974621,0.45297965721153355,3000,0.005,6,7,0.8,0.9,1.5,0.1,0.3
3215727.021587018,3059173.330921466,4143149.6821790314,0.4536326514293767,500,0.02,4,5,0.7,0.9,0.5,0.5,0.1
3229287.2734571933,3060171.8544083764,4154881.592265915,0.45053403882188836,1000,0.01,4,10,0.7,0.9,1.5,1.0,0.3
3195251.7217484214,3061927.6914659683,4128195.4632245493,0.4575696328828417,2000,0.005,3,7,0.8,0.8,1.5,0.5,0.0
3142360.2271308773,3063350.569486911,4187399.7314609126,0.44189960217286983,3000,0.05,3,5,0.85,0.9,3.0,1.0,0.3
3297632.0774922813,3064122.544492146,4179875.6731935027,0.4439034267746398,3000,0.05,3,3,0.7,0.8,1.5,0.5,0.3
3212129.3124185964,3064538.7194345547,4145098.8640599726,0.4531184436743755,2500,0.05,3,7,0.7,0.7,1.0,1.0,0.5
3165319.9273905265,3064856.2478848165,4113658.562546968,0.46138310198411836,2000,0.02,3,3,0.7,0.7,0.5,1.0,0.5
3155429.101748422,3066279.1422722517,4110417.151901105,0.4622315879130825,3000,0.03,5,3,0.8,0.7,3.0,0.5,0.5
3168863.348197544,3067223.566628272,4156851.290378239,0.4500129464247412,1000,0.05,4,5,0.8,0.9,2.0,1.0,0.3
3312016.487460702,3067742.205931937,4215266.30909562,0.43444672045682986,2500,0.01,5,7,0.7,0.7,3.0,0.1,0.1
3136308.126092281,3069359.8453193717,4176949.277730271,0.4446818177827946,1500,0.05,5,3,0.85,0.9,2.0,1.0,0.3
3253533.2160747373,3069567.8083246066,4198959.902031454,0.4388138487819242,3000,0.01,4,7,0.85,0.7,1.5,0.5,0.1
3230644.565527369,3070725.2412670157,4116749.2010299903,0.460573459944026,2000,0.03,4,5,0.7,0.8,1.0,0.5,0.5
3155989.9478466674,3072330.8737905757,4169257.7351957737,0.44672508933657884,1000,0.03,3,5,0.8,0.9,1.5,1.0,0.3
3231278.3429343863,3074985.7117486903,4176943.7657755734,0.4446832833915152,1500,0.05,6,10,0.7,0.7,0.5,1.0,0.3
3141948.9896922815,3075756.8427434554,4165177.1710541486,0.44780756927970866,2500,0.01,4,3,0.8,0.85,0.5,1.0,0.5
3163201.4848642107,3075878.9134450257,4173101.7848354634,0.4457043816629934,3000,0.03,6,5,0.8,0.85,3.0,0.5,0.3
3276342.2117589475,3078500.3293717275,4142182.6028600107,0.45388768392279777,500,0.05,5,7,0.8,0.9,0.5,0.0,0.3
3156771.9851168417,3079108.1228691097,4138193.9118684423,0.45493892898193,1500,0.03,4,7,0.7,0.8,3.0,1.0,0.5
3215075.9603800005,3081240.0829109945,4203285.630803696,0.4376569958700248,3000,0.03,6,10,0.85,0.9,3.0,0.1,0.3
3165839.34426772,3081941.4356753924,4146548.123655734,0.45273596213471334,2000,0.01,4,3,0.8,0.8,1.0,0.5,0.5
3135071.7275168425,3082736.9159685867,4162589.233289212,0.4484935404332616,1500,0.01,4,7,0.85,0.7,0.5,1.0,0.3
3155652.704120351,3083282.236963351,4191472.3442838136,0.44081347125981796,2500,0.01,6,7,0.85,0.8,3.0,0.5,0.3
3224426.181650176,3083590.5034188475,4234369.157308052,0.4293091287366909,1500,0.05,6,5,0.85,0.85,1.0,1.0,0.1
3223058.725839649,3083751.146094241,4188054.53144474,0.4417250438656294,1000,0.02,3,3,0.8,0.9,3.0,0.5,0.1
3182919.813151931,3087215.7630471205,4144851.445738661,0.45318372775218396,2500,0.03,4,3,0.8,0.85,1.0,0.5,0.5
3167672.059994035,3088432.802460733,4159175.098189308,0.4493978551643639,1500,0.05,3,3,0.85,0.9,2.0,0.5,0.3
3188079.82658351,3088925.8144502616,4136508.315035623,0.45538287439300096,2500,0.01,5,3,0.7,0.8,3.0,0.0,0.3
3218266.6995063163,3089743.4588952875,4174804.916736925,0.44525184959440056,2500,0.005,5,3,0.7,0.8,3.0,0.5,0.0
3209497.181646667,3089771.3030994763,4160002.6179718296,0.4491787350343168,1000,0.02,3,7,0.8,0.8,1.5,0.1,0.5
3167763.419158948,3089887.434680628,4184102.562225019,0.44277815550440713,3000,0.01,5,5,0.85,0.8,2.0,0.5,0.3
3405122.325681755,3090138.532691099,4202108.455472434,0.43797193217153507,2000,0.01,4,7,0.85,0.85,1.0,0.0,0.1
3207591.9754501753,3090945.345937172,4173452.3955329075,0.445611237451636,1000,0.03,5,10,0.7,0.85,1.5,1.0,0.3
3147703.4935729825,3091549.3894973816,4190996.515067424,0.44094042530506194,1000,0.01,5,7,0.85,0.8,2.0,1.0,0.1
3154428.5425273688,3091914.00817801,4191498.932463512,0.44080637695125724,3000,0.01,3,7,0.85,0.85,0.5,1.0,0.3
3224312.3505343865,3092040.2960837693,4148612.9935101634,0.45219078077297425,1500,0.005,5,7,0.7,0.9,1.5,0.0,0.5
3159470.450197544,3092138.224764398,4160628.9702235186,0.4490128533537455,500,0.01,4,5,0.7,0.85,0.5,1.0,0.3
3213088.196446667,3092535.1787434556,4186372.35362786,0.4421734282581592,3000,0.005,6,7,0.85,0.9,3.0,0.0,0.3
3220123.424246667,3093137.6779162297,4182505.3836380267,0.4432034858687762,500,0.02,3,10,0.8,0.9,3.0,0.0,0.1
3191889.4120782465,3094686.4546596855,4226656.230263569,0.431386268463417,3000,0.02,3,5,0.85,0.7,0.5,1.0,0.1
3283828.6630185973,3094803.9355602097,4177735.392093033,0.4444727730234159,3000,0.05,4,5,0.85,0.8,1.0,0.1,0.5
3187363.409548422,3095074.004125654,4171066.9129822445,0.44624481686640594,500,0.02,5,5,0.7,0.85,3.0,1.0,0.0
3201824.2290501758,3095868.75704712,4223003.057344672,0.43236876927396717,3000,0.01,3,7,0.85,0.8,0.5,1.0,0.1
3254156.808029123,3096244.6290680626,4166168.3531453456,0.44754472890165753,1000,0.01,4,7,0.8,0.9,3.0,0.1,0.1
3168992.3742747367,3097939.900858639,4177174.121900761,0.44462203088650754,2000,0.03,6,10,0.8,0.7,2.0,0.5,0.5
3217861.8876361405,3098663.414083769,4231929.274458834,0.42996661402195624,2000,0.02,3,5,0.9,0.85,1.0,0.5,0.1
3183424.471215088,3100556.469968586,4205164.875697379,0.4371540481526791,3000,0.03,3,5,0.7,0.8,3.0,1.0,0.3
3137621.809250176,3101877.080816753,4215295.54821613,0.4344388745288934,2000,0.01,5,3,0.8,0.9,2.0,1.0,0.1
3214839.7625589482,3102181.4191099475,4186631.68844517,0.4421043143234079,500,0.02,3,7,0.9,0.9,2.0,0.5,0.0
3371655.9857133334,3103865.1166544496,4254228.378908931,0.42394348719774344,2500,0.01,4,7,0.7,0.8,1.5,0.5,0.0
3169254.64620807,3103976.3071832457,4194206.670099002,0.4400836576001689,2500,0.005,4,10,0.85,0.8,2.0,0.1,0.5
3275738.17275193,3104027.2734764395,4234170.949129031,0.4293625548536586,500,0.05,5,10,0.9,0.9,1.0,0.1,0.3
3197541.241692281,3105393.721591623,4164217.7682716264,0.44806192289726077,1000,0.01,4,3,0.7,0.85,2.0,0.0,0.1
3234376.040390527,3105637.3208062826,4132373.8801871534,0.4564710185832739,1500,0.01,5,3,0.7,0.7,0.5,0.0,0.5
3479020.5048957895,3106304.4474083767,4233155.118074501,0.4296363282602583,2000,0.01,4,7,0.85,0.85,1.5,0.1,0.0
3171204.8455589474,3107402.852743455,4194849.885771134,0.4399119089904431,3000,0.005,6,10,0.85,0.85,2.0,0.5,0.3
3237392.569836141,3107703.1734764394,4210953.74792312,0.4356033427417708,2500,0.01,6,7,0.9,0.85,2.0,0.1,0.3
3270133.224299299,3108178.341413612,4199152.9191472065,0.4387622545660136,2000,0.01,3,3,0.8,0.85,0.5,0.1,0.1
3230365.8929378954,3108328.409811518,4181259.651072513,0.44353511305933535,2500,0.01,5,7,0.9,0.7,2.0,0.0,0.3
3222422.4763940354,3108430.670314136,4148492.859181362,0.4522225069137844,500,0.02,4,7,0.8,0.7,1.5,0.1,0.5
3256048.218271228,3109295.368062827,4182524.12189397,0.44319849679261025,500,0.02,3,7,0.9,0.8,0.5,0.5,0.1
3183497.9392957897,3109513.049539267,4195705.454332049,0.4396834180348682,1000,0.05,4,7,0.85,0.85,3.0,0.1,0.5
3197963.68552386,3109638.882010471,4209443.416183051,0.43600813147502804,3000,0.005,4,10,0.9,0.8,0.5,0.1,0.5
3264472.878744913,3110847.168874345,4238678.871733314,0.42814684636207745,1000,0.05,4,3,0.8,0.8,3.0,0.1,0.1
3289536.127509825,3111657.091418848,4291077.63480911,0.41392090024682127,3000,0.01,5,7,0.85,0.85,1.0,1.0,0.0
3134083.681306316,3113055.159853403,4193090.0024565267,0.4403817627147042,2500,0.01,6,3,0.9,0.7,3.0,1.0,0.1
3291521.0463764914,3113896.4157382194,4199093.335620759,0.4387781817243913,2500,0.02,3,5,0.7,0.7,1.5,0.1,0.3
3203822.068362456,3114409.964774869,4280559.794653186,0.41679045059634656,1500,0.02,3,10,0.85,0.9,1.5,1.0,0.1
3189915.1998396497,3115029.9118952877,4204011.100474529,0.4374628629767212,3000,0.01,3,10,0.9,0.9,1.0,0.1,0.5
3248834.2000747374,3115264.5273089004,4267075.095619462,0.42045913802330936,2000,0.02,3,5,0.7,0.8,1.0,1.0,0.1
3163478.2570817545,3115294.4670471204,4233899.870087963,0.4294356189323617,2500,0.01,5,5,0.9,0.8,0.5,1.0,0.1
3276479.434846667,3116987.4099685857,4191465.855880906,0.4408152025009632,3000,0.05,6,7,0.8,0.7,3.0,0.0,0.3
3372212.2112782453,3118386.770994764,4259449.715623196,0.42252859804642706,1500,0.02,4,7,0.8,0.85,1.0,0.1,0.1
3295510.657253685,3119170.811172775,4213925.849358645,0.43480635650645716,1000,0.01,6,7,0.85,0.8,0.5,0.1,0.3
3129098.9152431586,3119225.870544502,4195171.3273229785,0.43982606921648215,2500,0.005,4,3,0.9,0.8,1.5,1.0,0.1
3158770.4967659656,3122980.889790576,4212270.306027411,0.4352503694264853,2000,0.01,5,7,0.85,0.8,1.0,1.0,0.5
3378267.8565589483,3123531.476324607,4226770.608741826,0.431355493283332,2500,0.03,6,7,0.9,0.85,1.5,0.1,0.1
3161691.2941343863,3124046.0872356016,4228917.020484657,0.4307778157775094,2000,0.03,5,3,0.9,0.85,2.0,1.0,0.3
3179850.4302396495,3124984.8995497385,4204255.984178177,0.43739732547626686,2500,0.005,5,10,0.8,0.85,1.5,0.5,0.5
3160401.1245273687,3125698.302094241,4196786.956053753,0.43939452194574546,2000,0.01,4,7,0.9,0.7,0.5,1.0,0.3
3286179.391004561,3126628.7046649214,4258449.190278081,0.4227998569901741,2500,0.01,6,7,0.8,0.8,1.0,1.0,0.0
3170458.461201053,3126688.5379790575,4203122.143102582,0.4377007399241385,500,0.02,6,3,0.8,0.8,1.0,1.0,0.3
3119877.1809203513,3128244.884198953,4236904.944780284,0.42862539804280364,1000,0.01,3,10,0.9,0.9,1.5,1.0,0.3
3264600.688941404,3128267.6224607327,4208358.130872961,0.4362989125233232,1500,0.005,4,7,0.9,0.9,0.5,0.5,0.0
3296802.9572291225,3129756.066376963,4285850.476948031,0.41534789007189754,1000,0.05,4,3,0.8,0.85,2.0,1.0,0.0
3232310.8744361405,3130075.3834345546,4245904.06733821,0.42619563822329454,2000,0.03,5,5,0.85,0.8,1.5,0.5,0.1
3198551.3007835094,3130261.4608272254,4241137.751437089,0.427483183931492,500,0.02,4,10,0.8,0.85,1.5,1.0,0.0
3308982.8108466673,3130744.611989528,4214400.406666657,0.4346790491515775,3000,0.05,3,7,0.8,0.85,1.5,0.1,0.3
3139400.969502807,3131870.456502618,4205774.813968648,0.4369907602940185,1000,0.005,3,3,0.7,0.8,2.0,0.5,0.3
3263052.4807308777,3132649.1369319367,4199331.7839805875,0.43871444119234304,1000,0.01,4,5,0.85,0.8,1.5,0.0,0.1
3195381.9612115794,3132679.390994764,4203213.8111510845,0.4376762127102364,500,0.02,3,7,0.9,0.8,0.5,0.5,0.5
3168440.784197544,3132921.355403141,4229507.638650001,0.4306188074842997,500,0.02,5,10,0.85,0.8,2.0,1.0,0.3
3216013.886099299,3133301.6722303666,4218646.297927657,0.43353938506344636,2000,0.02,6,10,0.8,0.85,0.5,0.5,0.5
3231360.6012080703,3133337.213895288,4189657.719494138,0.4412975465452902,500,0.01,4,10,0.7,0.7,1.5,1.0,0.0
3388615.5778080705,3133655.589455497,4277530.7422065865,0.41761555168473274,3000,0.01,3,3,0.8,0.9,0.5,0.1,0.0
3164864.564611579,3134443.259602094,4214535.749076074,0.43464273882471705,500,0.02,6,10,0.85,0.7,2.0,1.0,0.3
3103382.800744913,3135064.5759685864,4203358.724044119,0.43763743791779575,2000,0.05,3,3,0.9,0.85,1.5,1.0,0.3
3196640.1271764915,3136457.171811518,4180435.6413454087,0.4437544188838508,2000,0.005,6,3,0.8,0.9,2.0,0.0,0.3
3293029.4904536847,3136954.3786806273,4297010.407599395,0.4122991734431535,3000,0.005,5,10,0.9,0.9,2.0,0.5,0.0
3201910.372316843,3137299.1557905753,4242752.204153371,0.4270472267390667,500,0.03,6,10,0.9,0.8,3.0,0.5,0.1
3195935.754460702,3137471.1070890054,4201573.933248014,0.438114906770689,500,0.01,6,3,0.8,0.9,1.5,0.0,0.3
3263914.753755439,3138061.6228272254,4198763.96588983,0.43886622083896365,3000,0.02,5,5,0.9,0.85,0.5,0.0,0.5
3555437.4372045607,3138272.2703141356,4288264.996431289,0.41468895362058655,3000,0.01,4,7,0.8,0.8,0.5,0.1,0.0
3187919.5484221056,3139252.943465968,4295567.920792217,0.41269368419153585,2000,0.05,5,10,0.85,0.7,1.0,1.0,0.1
3164063.509215088,3139931.0156335076,4193255.0003134306,0.44033771995555193,3000,0.02,6,3,0.9,0.7,1.0,0.5,0.3
3145227.007544913,3140111.268712042,4200590.35018936,0.4383779491347245,1000,0.01,4,3,0.9,0.9,1.5,0.5,0.1
3341872.478850176,3140736.578502618,4211653.429641935,0.4354157696386082,500,0.02,5,7,0.9,0.7,2.0,0.0,0.1
3284237.312018597,3141602.9796020933,4270686.90260159,0.4194776340372727,1000,0.05,3,5,0.8,0.85,3.0,0.5,0.1
3127995.0320010534,3142765.7378848167,4198153.252690786,0.4390294435805916,500,0.05,5,3,0.8,0.7,1.5,1.0,0.5
3307391.7521554385,3142927.930471204,4250784.142834331,0.42487586378375264,3000,0.03,3,10,0.8,0.7,1.0,0.1,0.3
3299516.8602396497,3143108.356910994,4262624.313685478,0.4216674902135682,3000,0.01,4,5,0.9,0.8,0.5,0.0,0.1
3237409.023758948,3143386.254628272,4201671.383129454,0.4380888421236876,2500,0.02,4,5,0.9,0.85,0.5,0.1,0.5
3337936.676474737,3144325.274172774,4298077.91295419,0.41200713239646547,1500,0.05,5,7,0.8,0.7,2.0,0.1,0.1
3265686.169411579,3146383.2486910997,4239736.358633752,0.4278614731727227,3000,0.005,4,5,0.9,0.85,3.0,0.1,0.0
3277776.3179800003,3146488.821989529,4219927.712169503,0.43319520786071175,1000,0.02,4,5,0.9,0.7,1.0,0.1,0.1
3204468.3937554397,3147199.5571413613,4146960.441486425,0.4526271207886454,2500,0.05,4,3,0.8,0.7,1.0,0.0,0.5
3178952.686429123,3147249.5592879583,4198516.222178234,0.43893243711832264,1000,0.02,4,3,0.9,0.8,0.5,0.5,0.3
3149418.5802326314,3147325.9990680623,4227360.662517749,0.4311967175704655,1500,0.01,6,3,0.9,0.7,0.5,1.0,0.1
3154404.221765965,3151703.6012041885,4225733.887362316,0.43163440769531136,1000,0.005,3,5,0.8,0.9,1.5,0.1,0.5
3173498.6919449125,3153634.527507853,4250975.959300958,0.42482395770476666,1000,0.005,5,5,0.9,0.8,0.5,1.0,0.1
3161307.2827238594,3154624.2758010468,4228163.423544809,0.43098066954510306,2000,0.05,5,10,0.85,0.7,0.5,1.0,0.5
3306416.530913334,3155114.875528796,4253161.163312807,0.424232469983131,500,0.03,3,10,0.85,0.85,2.0,0.0,0.1
3321961.590176491,3155497.7118429313,4274751.481410905,0.41837209677248677,3000,0.05,3,7,0.9,0.9,1.0,0.5,0.1
3245645.5366536845,3156441.2827434554,4208445.195761148,0.43627558794955446,3000,0.01,4,5,0.9,0.85,0.5,0.0,0.5
3245148.729527369,3156852.7041465966,4309420.273277608,0.4088996843953726,3000,0.05,4,7,0.9,0.9,0.5,1.0,0.1
3191809.178190527,3157843.9683560207,4265396.93553708,0.4209148933468906,1000,0.02,5,10,0.9,0.8,1.5,0.0,0.5
3253747.5914571933,3158817.900157068,4233073.296011906,0.42965837700627696,1000,0.03,6,5,0.9,0.9,0.5,0.0,0.5
3148977.2366571934,3162092.44504712,4221445.062220423,0.43278752509434537,500,0.01,4,3,0.85,0.8,2.0,0.0,0.3
3202396.087369474,3162411.4368062825,4255592.387300362,0.42357403271059924,1500,0.01,5,7,0.9,0.9,1.0,0.5,0.5
3159093.3199800006,3162929.6616858635,4264980.394100378,0.4210279900494963,1000,0.01,6,10,0.9,0.85,3.0,0.5,0.5
3424810.935787017,3163048.6857801047,4348792.174582819,0.39804947508728594,1500,0.05,4,7,0.85,0.9,1.0,0.1,0.1
3165854.9076291234,3166570.0761884814,4253018.780426663,0.4242710192255943,1000,0.05,6,3,0.85,0.9,2.0,1.0,0.5
3309133.688622106,3167524.172,4347458.406526465,0.39841865311698377,1500,0.02,4,7,0.9,0.8,2.0,1.0,0.0
3426058.0401554387,3167598.5061256536,4258547.552585428,0.42277319216876796,500,0.05,3,5,0.8,0.9,3.0,0.0,0.0
3436740.4802326313,3167650.034680628,4333039.061723791,0.40240260085040724,1000,0.03,5,10,0.85,0.7,1.0,0.5,0.0
3207560.064843158,3169514.3458219892,4248260.186024629,0.4255586354709341,1000,0.005,3,10,0.7,0.9,3.0,0.0,0.1
3471028.2773133335,3170788.6993874344,4328520.965545293,0.4036481907605354,1500,0.03,5,7,0.7,0.85,1.0,0.5,0.0
3146698.60275193,3170836.4408376967,4248788.64101346,0.42541571329931926,1500,0.02,4,5,0.9,0.9,2.0,0.5,0.5
3373849.9163063164,3171979.7887853403,4295853.484199577,0.4126155949747109,1000,0.02,4,5,0.9,0.8,1.0,0.1,0.0
3131225.673327368,3172003.67739267,4252310.881672485,0.42446265906122715,1000,0.005,4,7,0.9,0.8,3.0,1.0,0.3
3174062.284071229,3172453.445874345,4250523.745515128,0.4249463242875916,500,0.01,6,7,0.8,0.7,1.0,0.5,0.5
3189302.675972983,3173545.7023560214,4214321.227539255,0.43470029117643805,2000,0.03,6,3,0.9,0.7,0.5,0.5,0.5
3193427.641976492,3173864.5217905757,4285425.34874206,0.415463871614688,500,0.05,6,10,0.85,0.7,0.5,1.0,0.1
3266496.1983343866,3174053.0850052354,4301934.75861876,0.410951397585138,3000,0.03,4,5,0.85,0.7,1.0,0.5,0.1
3372079.59412035,3175207.1846282724,4338153.776203509,0.4009909615851466,3000,0.01,3,10,0.85,0.9,2.0,0.0,0.1
3224967.031597544,3175609.981445026,4255120.790395111,0.4237017825583753,2000,0.01,6,7,0.9,0.85,1.5,0.1,0.5
3158641.3026361405,3175634.0945026176,4226305.965655604,0.4314805070304826,1000,0.03,5,3,0.9,0.7,0.5,1.0,0.1
3273898.3542817547,3178965.183151832,4304015.037895445,0.4103815693807823,2000,0.05,5,5,0.9,0.85,3.0,0.0,0.1
3192723.3290080708,3182390.697696335,4222731.988315856,0.4324416379440017,1500,0.05,4,3,0.9,0.8,1.5,0.0,0.5
3427339.533674737,3183130.2311518323,4311287.170863623,0.40838742858702315,2000,0.05,3,7,0.8,0.7,3.0,0.0,0.1
3500764.4148957897,3183209.274895287,4306730.911173269,0.4096372252498207,1000,0.03,4,5,0.8,0.7,1.5,0.1,0.0
3381194.254976492,3184064.747753926,4360654.496227597,0.3947610818203344,2000,0.05,4,3,0.7,0.8,1.0,0.0,0.1
3203470.7774396497,3187628.31486911,4271243.6398888845,0.4193262675142354,1000,0.03,5,7,0.9,0.8,0.5,1.0,0.5
3464604.1865396495,3187736.253884816,4384915.630904536,0.3880076778999222,3000,0.02,3,5,0.9,0.9,0.5,0.5,0.0
3177757.8429203513,3192667.782146597,4304672.590180831,0.4102013959570163,500,0.05,6,10,0.8,0.7,2.0,1.0,0.1
3603922.061183509,3194294.0469685863,4378128.129856233,0.38990084252370283,2500,0.02,3,10,0.7,0.85,3.0,0.5,0.0
