cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3171065.5606536847,3032125.711570681,4134049.991998929,0.456030012939333,1500,0.03,3,3,0.85,0.8,2.0,0.5,0.3
3167291.059625614,3033846.087853403,4093353.0105168447,0.4666873440691973,1000,0.01,3,3,0.7,0.9,2.0,0.0,0.3
3189611.801930878,3044600.1486596856,4136939.01220171,0.4552694563861681,2500,0.01,5,7,0.7,0.7,1.0,1.0,0.3
3163079.7359098247,3045052.338596858,4142943.7165590683,0.4536869724658693,3000,0.05,4,10,0.85,0.85,2.0,1.0,0.5
3198316.4229063154,3046708.7432565438,4115462.3762461157,0.460910638099738,2000,0.005,3,7,0.8,0.8,1.5,0.5,0.0
3152953.650032632,3049382.337183246,4122625.389875159,0.45903242146618894,2500,0.005,3,7,0.8,0.7,2.0,0.5,0.3
3179548.9254466672,3052692.651633507,4145712.262545194,0.4529565748505263,1000,0.05,4,5,0.8,0.9,2.0,1.0,0.3
3240681.445380001,3059408.606251308,4201091.965130666,0.4382438085452739,3000,0.01,4,7,0.85,0.7,1.5,0.5,0.1
3163641.9410466678,3060319.7010680633,4105505.0718110465,0.46351612086301286,3000,0.03,5,3,0.8,0.7,3.0,0.5,0.5
3239303.856429123,3062127.66791623,4155119.3579495735,0.4504711499596661,3000,0.005,6,7,0.8,0.9,1.5,0.1,0.3
3226948.330913333,3062874.14226178,4156215.5691327807,0.45018115630023126,1000,0.01,4,10,0.7,0.9,1.5,1.0,0.3
3144350.262088772,3065681.6404816755,4197306.290806141,0.4392557682162971,3000,0.05,3,5,0.85,0.9,3.0,1.0,0.3
3161605.7745028078,3066073.998209424,4173085.059399181,0.44570882479328156,3000,0.03,6,5,0.8,0.85,3.0,0.5,0.3
3131368.766836141,3068127.63426178,4139026.636779744,0.4547195426461482,3000,0.05,6,3,0.8,0.9,2.0,1.0,0.5
3262540.880509825,3069613.4693717277,4186055.7106209924,0.4422578092869589,500,0.05,5,10,0.9,0.9,1.0,0.1,0.3
3156757.164772983,3070403.3585549737,4180476.1960895215,0.4437436264648007,3000,0.01,5,5,0.85,0.8,2.0,0.5,0.3
3246645.6166747375,3071286.3028848167,4171130.3338654484,0.4462279770935028,500,0.02,4,5,0.7,0.9,0.5,0.5,0.1
3223023.409713334,3072201.3555183248,4203626.596660527,0.4375657588911771,1000,0.02,3,3,0.8,0.9,3.0,0.5,0.1
3188287.766481755,3074567.4385445025,4132453.7049188195,0.45645001976980515,2500,0.01,5,3,0.7,0.8,3.0,0.0,0.3
3275723.3425800004,3074714.246696335,4200567.960582863,0.43838393613281723,2500,0.03,6,7,0.7,0.85,0.5,0.1,0.3
